Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,18/03/2025 18:44,FALSE,Tangerang Running,8.01,518,00:57:03,154,172,3.5,170,243,07:08,02:45,4,7,0.82,9.3,7.6,260,07:07,204,0,196,311,"9,784",No,00:03.9,9,00:56:47,00:57:16,7,13
Treadmill Running,18/03/2025 12:30,FALSE,Treadmill Running,2.03,84,00:26:33,93,102,0.2,80,120,13:06,07:56,--,--,1.21,5.1,6,--,--,68,0,61,118,"2,220",No,00:23.7,3,00:21:15,00:26:33,--,--
Running,16/03/2025 17:15,FALSE,Tangerang Running,2.78,174,00:19:03,156,175,2.7,146,250,06:51,03:58,1,4,0.96,8.1,7.6,240,06:45,241,0,193,372,"3,028",No,05:04.6,3,00:18:19,00:19:03,35,40
Running,15/03/2025 05:42,FALSE,Fartlek W9,16.01,"1,029",01:51:44,162,190,4.5,164,250,06:59,03:50,4,3,0.86,8.9,7.5,256,06:58,214,0,197,384,"18,768",No,00:08.0,17,01:47:18,02:05:27,13,17
Treadmill Running,14/03/2025 18:56,FALSE,ER W9,10.05,416,00:46:57,151,168,3.1,148,240,04:40,02:34,--,--,1.47,6.9,10,238,--,317,0,283,483,"7,052",No,00:09.2,11,00:44:59,00:46:57,--,--
Treadmill Running,13/03/2025 18:52,FALSE,Treadmill Running,0.78,69,00:10:37,123,151,1,64,139,13:39,06:00,--,--,1.32,5.1,6.5,407,--,96,0,63,243,664,No,00:10:37,1,00:06:08,00:10:37,--,--
Running,12/03/2025 19:30,FALSE,Tangerang - INT W9,11.23,715,01:13:33,167,192,4.6,162,250,06:33,01:31,3,4,0.93,8.3,7.4,242,06:29,232,0,204,933,"12,122",No,00:10.0,26,01:10:54,01:32:10,12,18
Running,09/03/2025 06:18,FALSE,Tangerang - LR W8,12.02,690,02:14:53,120,169,2.8,110,250,11:13,01:21,25,22,0.73,9.3,6.2,267,11:02,145,0,95,304,"16,292",No,00:02.2,13,02:05:37,02:51:35,31,47
Running,08/03/2025 06:05,FALSE,Tangerang - TEMPO W8,6.51,415,00:41:31,166,190,3.8,167,250,06:23,04:24,1,--,0.91,8.5,7.6,245,06:20,227,0,210,325,"7,160",No,01:55.4,10,00:40:25,00:53:01,15,17
Running,07/03/2025 18:46,FALSE,Tangerang - ER W8,8.01,554,01:03:45,158,175,3.5,163,250,07:57,04:27,7,8,0.78,9.3,7.1,259,07:48,194,0,177,322,"10,438",No,00:09.1,9,01:02:50,01:06:07,11,16
Running,05/03/2025 18:33,FALSE,Tangerang - ER W8 + STRIDE,5.73,376,00:51:35,147,182,2.7,140,237,09:00,02:50,14,16,0.77,9.4,6.8,264,08:48,171,0,141,493,"7,708",No,00:00:20,14,00:50:21,00:52:24,9,13
Running,02/03/2025 06:30,FALSE,Jakarta Running,5.61,375,00:51:58,143,163,2.7,133,250,09:16,06:10,14,24,0.79,9.9,7.6,273,09:12,177,0,146,253,"7,248",No,07:11.6,6,00:46:17,00:56:36,4,21
Running,01/03/2025 06:22,FALSE,Tangerang Running,6.57,534,01:12:41,149,188,3.5,100,242,11:04,02:21,2,2,0.84,8.7,6.9,250,10:53,176,0,108,542,"8,078",No,04:26.5,7,00:54:20,01:21:23,13,17
Running,01/03/2025 05:54,FALSE,Tangerang - TT W7,5.01,298,00:26:18,182,191,4,188,205,05:15,04:33,--,--,1,7.7,7.7,229,05:16,259,0,258,316,"4,974",No,00:03.9,6,00:26:12,00:26:38,16,17
Running,01/03/2025 05:44,FALSE,Tangerang Running,1.19,75,09:46.4,136,156,1.5,157,247,08:13,04:52,--,--,0.76,9.6,7.1,265,08:07,183,0,164,307,"1,596",No,01:24.2,2,00:09:32,09:46.4,14,16
Running,26/02/2025 19:10,FALSE,Tangerang - INT W7,10,677,01:22:29,152,192,4,141,247,08:15,03:49,9,19,0.84,8.8,6.9,256,08:07,196,0,155,378,"12,714",No,00:54.4,26,01:20:38,01:30:21,9,12
Treadmill Running,25/02/2025 17:48,FALSE,Treadmill Running,5.01,159,00:19:39,147,178,2.6,150,248,03:55,02:22,--,--,1.78,5.7,9.8,205,--,381,0,312,497,"2,946",No,00:03.6,6,00:16:31,00:21:53,--,--
Running,23/02/2025 05:53,FALSE,Tangerang - LR W6,16.77,622,01:56:22,118,169,3.1,132,248,06:56,01:30,34,35,0.73,9.1,6.1,253,06:50,153,0,105,806,"13,146",No,01:15.2,23,01:53:55,02:02:33,6,20
Running,22/02/2025 05:50,FALSE,Tangerang - TEMPO W6,10.27,694,01:17:46,166,183,4.1,159,250,07:34,04:52,5,9,0.82,9.7,7.9,274,07:31,196,0,183,308,"12,510",No,01:13.2,16,01:16:58,01:35:45,23,30
Treadmill Running,19/02/2025 19:51,FALSE,Treadmill Running,7.53,341,00:37:25,154,166,3.2,146,244,04:58,02:36,--,--,1.43,7.6,10.6,255,--,306,0,276,475,"5,428",No,02:01.4,10,00:34:51,00:38:11,--,--
Running,19/02/2025 19:09,FALSE,Tangerang - INT MID W6,4.5,307,00:37:19,147,174,3.1,162,247,08:17,05:16,1,4,0.8,9.4,7.2,262,08:08,196,0,172,266,"6,150",No,00:02:00,7,00:35:08,00:40:19,5,13
Running,17/02/2025 19:24,FALSE,Tangerang - ER W6,5.01,333,00:34:24,162,172,3.4,176,190,06:52,05:08,8,9,0.82,9.3,7.6,259,06:50,210,0,208,305,"6,120",No,00:07.4,7,00:34:22,00:34:24,10,13
Treadmill Running,16/02/2025 09:11,FALSE,TEMPO W5,14,652,01:07:07,169,192,4.6,138,250,04:48,02:00,--,--,1.64,6.6,10.2,252,--,340,0,268,598,"9,322",No,00:36.4,21,00:54:48,01:07:07,--,--
Running,12/02/2025 19:13,FALSE,Tangerang - INT W5,10.25,647,01:10:44,161,180,4.3,153,250,06:54,04:53,6,12,0.92,8.6,7.7,251,06:55,220,0,193,331,"11,158",No,00:10.2,18,01:08:21,01:10:44,9,18
Running,11/02/2025 19:23,FALSE,Tangerang - ER W5,8.01,516,00:54:10,161,177,4,174,188,06:46,04:29,2,3,0.84,9.3,7.8,260,06:48,209,0,208,345,"9,500",No,00:02.3,9,00:53:58,00:56:27,9,12
Running,07/02/2025 19:13,FALSE,Tangerang - TEMPO W4,7.36,502,00:54:46,165,192,4,155,244,07:26,03:37,13,15,0.88,8.6,7.1,250,07:15,205,0,175,444,"8,478",No,00:01:00,34,00:54:27,00:56:29,8,13
Running,05/02/2025 19:23,FALSE,Tangerang - ER W4,8.01,516,00:56:46,161,172,3.7,174,227,07:05,05:21,5,9,0.8,9.4,7.5,260,07:03,201,0,199,305,"9,964",No,00:07.7,9,00:56:44,01:05:48,7,13
Running,03/02/2025 19:30,FALSE,Tangerang - ER W4,6.01,392,00:41:27,166,178,3.8,171,188,06:54,04:33,14,3,0.84,9.5,8,264,06:53,208,0,207,264,"7,150",No,00:07.2,7,00:41:18,00:43:05,9,14
Running,02/02/2025 06:03,FALSE,Syafana 10K Run,10.01,675,01:04:23,182,195,5,160,235,06:26,04:38,19,22,0.93,8.6,8,256,06:21,223,0,207,314,"10,790",No,00:02.2,11,01:03:47,01:05:51,29,38
Running,27/01/2025 05:47,FALSE,Tangerang Running,21.15,"1,327",02:33:09,158,190,5,160,247,07:15,05:10,41,42,0.84,9.2,7.7,260,07:13,205,0,189,300,"25,190",No,00:52.3,22,02:28:03,02:55:03,30,45
Treadmill Running,24/01/2025 19:20,FALSE,ER,1.05,66,00:14:23,110,123,0.4,79,156,13:40,04:41,--,--,1.3,6.5,8.2,371,--,158,0,88,346,"1,656",No,03:13.9,2,00:07:07,00:14:23,--,--
