Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Avg Resp,Min Resp,Max Resp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,29/03/2025 06:43,Tangerang Running,15.7,977,01:28:21,137,155,3.7,182,191,05:38,04:45,32,31,0.97,8.2,8,245,05:38,--,0,--,--,"16,020",25,No,03:53.2,16,31,--,--,--,01:28:15,01:29:48,31,42
Running,27/03/2025 06:18,Tangerang - Test,6.94,388,00:32:00,146,169,3.4,175,181,04:37,03:42,5,10,1.24,7.8,9.5,236,04:36,--,0,--,--,"5,562",26,No,02:00.4,8,30,--,--,--,00:31:58,00:32:00,33,38
Running,25/03/2025 06:03,Tangerang Running,5.01,265,00:21:53,142,157,3,174,181,04:22,04:08,2,3,1.31,7.5,9.9,233,04:22,--,0,--,--,"3,796",27,No,00:02.7,6,31,--,--,--,00:21:50,00:21:53,35,39
Running,24/03/2025 05:57,Tangerang Running,10.01,609,00:54:21,142,153,3.3,178,186,05:26,04:57,6,10,1.02,8.2,8.4,246,05:27,--,0,--,--,"9,686",27,No,00:02.0,11,30,--,--,--,00:54:19,00:54:21,32,39
Running,22/03/2025 06:11,Tangerang Running,11.01,660,00:52:49,154,169,4.2,177,184,04:48,04:16,4,8,1.17,7.8,9.1,238,04:47,--,0,--,--,"9,314",28,No,00:02.5,12,31,--,--,--,00:52:46,00:52:49,34,41
Running,21/03/2025 06:09,Tangerang Running,5.65,335,00:35:58,120,144,2.2,175,184,06:22,05:34,17,16,0.89,9,8,259,06:22,--,0,--,--,"6,292",28,No,04:00.5,6,32,--,--,--,00:35:47,00:40:22,38,48
Running,17/03/2025 08:09,Running,4.15,253,00:28:28,120,133,2,179,190,06:52,03:29,34,15,0.82,9,7.3,256,06:42,--,0,--,--,"5,114",9,No,00:59.0,5,18,--,--,--,00:28:14,00:35:49,51,70
Running,16/03/2025 08:06,Seoul Marathon,42.5,"2,487",03:09:53,163,182,5,184,194,04:28,03:43,87,129,1.21,7.2,8.8,225,04:29,--,0,--,--,"34,660",11,No,02:00.9,43,19,--,--,--,03:09:45,03:09:53,10,61
Running,15/03/2025 08:06,Running,5.24,305,00:30:01,126,136,2.4,180,214,05:43,03:40,32,17,0.97,8.3,8,246,05:40,--,0,--,--,"5,400",16,No,01:31.2,6,28,--,--,--,00:29:53,00:31:53,52,72
Running,14/03/2025 08:24,Running,5.26,300,00:30:00,123,145,2.4,180,204,05:42,03:13,23,6,0.97,8.3,8,247,05:40,--,0,--,--,"5,396",16,No,01:29.8,6,27,--,--,--,00:29:56,00:32:43,59,75
