Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,16/01/2024 07:36,Tangerang Running,10.01,652,01:08:18,125,146,2.8,167,177,06:49,05:42,74,73,0.88,0,"11,418",28,No,00:02.7,11,32,01:08:03,01:13:02,36,49
Running,15/01/2024 07:48,Tangerang Running,8.18,575,00:52:58,134,154,3.4,167,179,06:28,05:33,50,51,0.92,0,"8,848",30,No,01:13.8,9,33,00:52:53,00:53:06,37,45
Running,13/01/2024 06:41,Tangerang Running,12.08,736,01:22:35,120,144,2.6,168,191,06:50,05:50,104,87,0.87,0,"13,898",27,No,00:30.4,13,31,01:22:24,01:25:52,37,53
Running,12/01/2024 07:47,Tangerang Running,8.03,534,00:52:43,129,149,3.2,166,176,06:34,05:20,24,27,0.91,0,"8,788",29,No,00:12.7,9,32,00:52:34,00:53:46,32,42
Running,09/01/2024 07:11,Tangerang Running,13.14,867,01:29:12,127,149,3.3,166,178,06:47,05:17,63,57,0.88,0,"14,846",29,No,00:49.0,14,32,01:29:06,01:35:17,39,52
Running,07/01/2024 07:12,Tangerang Running,10.02,639,01:07:38,125,152,2.9,164,179,06:45,05:22,31,42,0.9,0,"11,124",29,No,00:04.5,11,32,01:07:10,01:08:40,26,44
Running,06/01/2024 06:53,Tangerang Running,7.6,516,00:47:08,136,160,3.4,168,189,06:12,04:30,22,18,0.96,0,"7,894",28,No,03:23.5,8,32,00:46:10,00:51:08,39,49
Running,05/01/2024 07:33,Tangerang Running,5.02,321,00:37:15,110,135,2.3,164,183,07:25,04:46,14,22,0.82,0,"6,122",28,No,00:05.5,6,30,00:37:12,00:38:19,38,45
Running,04/01/2024 07:27,Tangerang Running,5.05,345,00:32:07,133,160,3.2,164,181,06:21,04:46,20,23,0.96,0,"5,278",29,No,00:14.2,6,31,00:31:56,00:32:07,37,45
Running,31/12/2023 08:02,Tangerang Running,8.88,616,01:00:02,129,161,3.4,163,170,06:46,05:29,51,47,0.91,0,"9,758",31,No,05:30.8,9,34,00:59:54,01:07:30,39,47
Treadmill Running,29/12/2023 07:29,Treadmill Running,5.01,303,00:35:37,118,133,2.2,154,175,07:06,05:34,--,--,0.91,0,"5,684",29,No,00:04.2,6,31,00:34:08,00:35:37,--,--
Treadmill Running,27/12/2023 07:19,Treadmill Running,3.88,219,00:27:53,113,134,2,159,178,07:11,05:37,--,--,0.87,0,"4,588",29,No,05:26.1,4,30,00:27:09,00:29:14,--,--
Running,23/12/2023 07:37,Tangerang Running,3.76,256,00:23:58,129,151,2.8,164,175,06:23,05:27,15,16,0.96,0,"3,928",29,No,04:28.7,4,31,00:23:57,00:23:58,37,44
Running,22/12/2023 07:01,Tangerang Running,6.51,431,00:47:13,121,153,2.7,162,193,07:15,05:11,29,35,0.85,0,"7,714",28,No,02:47.9,7,30,00:46:43,00:47:13,32,44
Running,21/12/2023 07:20,Tangerang Running,5.02,334,00:30:06,136,162,3.4,169,183,06:00,04:41,34,41,0.98,0,"5,092",26,No,00:04.7,6,29,00:30:02,00:30:59,23,43
Running,19/12/2023 07:06,Tangerang Running,8.07,502,00:55:05,123,144,2.5,165,177,06:50,05:12,57,66,0.89,0,"9,152",29,No,00:19.8,9,31,00:55:00,00:55:05,35,45
Running,18/12/2023 07:05,Tangerang Running,6.02,411,00:48:40,120,143,2.8,135,196,08:05,05:06,35,41,0.92,0,"6,886",29,No,00:08.2,7,33,00:46:45,00:49:06,52,65
Running,16/12/2023 06:20,Tangerang Running,10.39,595,01:13:13,117,135,2.3,161,181,07:03,04:50,54,46,0.88,0,"11,902",27,No,03:45.8,11,32,01:12:50,01:14:59,39,55
Running,15/12/2023 18:12,Tangerang Running,5.48,354,00:42:26,116,149,2.3,152,236,07:45,05:18,16,28,0.85,0,"6,546",31,No,03:07.6,6,32,00:42:03,00:43:07,34,43
Running,14/12/2023 08:06,Tangerang Running,5.01,341,00:33:25,130,151,3.1,166,177,06:40,05:36,43,43,0.9,0,"5,550",30,No,00:02.5,6,32,00:33:23,00:33:25,38,48
Running,12/12/2023 08:02,Tangerang Running,5.01,338,00:36:12,123,141,2.7,164,172,07:14,06:08,26,26,0.84,0,"5,954",30,No,00:02.4,6,33,00:36:10,00:36:12,38,46
Running,11/12/2023 07:15,Tangerang Running,5.01,339,00:37:20,121,145,2.5,167,181,07:27,05:31,23,29,0.8,0,"6,246",30,No,00:03.1,6,32,00:36:43,00:39:32,51,57
Running,09/12/2023 06:20,Tangerang Running,7.04,441,00:48:23,122,135,2.5,164,189,06:52,06:05,32,21,0.89,0,"8,004",28,No,00:14.1,8,31,00:48:11,00:48:23,39,53
Running,07/12/2023 17:50,Tangerang Running,6.36,416,00:50:30,116,135,2.3,160,172,07:57,06:33,22,25,0.79,0,"8,066",31,No,03:07.1,7,33,00:50:16,00:52:28,33,47
Running,06/12/2023 07:52,Tangerang Running,2.52,165,00:20:18,113,134,2.5,161,185,08:04,06:24,25,16,0.77,0,"3,298",30,No,04:04.6,3,33,00:20:15,00:47:51,38,45
Running,05/12/2023 07:07,Tangerang Running,8.01,522,00:57:55,120,155,3,158,177,07:14,05:35,44,39,0.88,0,"9,240",29,No,00:03.1,9,31,00:57:11,00:59:07,37,46
Running,03/12/2023 07:31,Tangerang Running,7.44,563,00:51:53,139,153,3.4,169,185,06:59,05:56,39,36,0.85,0,"8,882",30,No,03:05.9,8,32,00:51:16,00:57:06,33,47
Running,01/12/2023 07:33,Tangerang Running,5.01,326,00:33:31,123,146,2.8,166,183,06:41,05:19,13,19,0.9,0,"5,576",29,No,00:03.9,6,30,00:33:11,00:33:31,35,43
