Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,25/01/2025 04:58,FALSE,Tangerang - Quality Session,29.01,"1,108",02:51:56,161,196,3.4,182,194,05:56,04:45,15,29,0.93,0,"31,156",27,No,00:03.4,30,31,02:51:25,02:58:01,-96,-85
Running,24/01/2025 05:46,FALSE,Tangerang - Easy Run,6.51,306,00:42:32,157,171,3.2,177,194,06:32,05:26,5,8,0.87,0,"7,516",28,No,03:13.8,7,29,00:42:28,00:43:23,-67,-60
Running,22/01/2025 05:38,FALSE,Tangerang - Quality Session,12.89,544,01:23:35,157,179,3,163,205,06:29,02:43,14,25,0.94,0,"14,162",27,No,00:02.2,25,30,01:20:31,01:27:37,-51,-21
Running,21/01/2025 04:54,FALSE,Tangerang - Easy Run,10.04,463,01:11:41,150,168,2.9,172,214,07:08,05:45,9,14,0.82,0,"12,400",29,No,01:41.3,11,30,01:10:48,01:13:06,-27,-18
Running,19/01/2025 04:55,FALSE,Tangerang - Quality Session,28,"1,191",02:52:59,165,192,3.5,176,192,06:11,04:54,26,24,0.92,0,"30,478",28,No,00:02.9,29,35,02:51:52,03:14:40,45,55
Running,17/01/2025 05:18,FALSE,Tangerang - Easy Run,6.23,287,00:42:49,150,161,2.6,171,188,06:53,06:08,8,8,0.85,0,"7,374",30,No,01:32.6,7,31,00:42:22,00:42:49,45,51
Running,14/01/2025 05:25,FALSE,Tangerang - Easy Run,7.08,331,00:48:11,153,166,2.9,178,192,06:48,05:47,7,11,0.83,0,"8,578",30,No,00:34.4,8,31,00:48:04,00:49:34,1,10
Running,12/01/2025 05:25,FALSE,Tangerang - Quality Session,18.8,708,01:53:06,157,188,3.3,180,192,06:01,04:59,17,17,0.92,0,"20,330",28,No,05:25.8,19,31,01:53:00,02:00:34,47,55
Running,11/01/2025 06:18,FALSE,Tangerang - Easy Run,8.12,385,00:55:49,157,170,3,177,186,06:53,05:57,9,18,0.82,0,"9,866",28,No,00:48.7,9,29,00:55:46,00:55:49,35,46
Running,10/01/2025 05:56,FALSE,Tangerang - Quality Session,8.53,399,00:52:21,170,191,3.7,169,199,06:08,04:47,7,15,0.96,0,"9,000",29,No,00:09.1,13,31,00:50:36,00:52:40,47,59
Running,10/01/2025 05:27,FALSE,Tangerang - Easy Run,3.24,146,00:22:08,149,172,2.3,172,199,06:50,04:18,3,4,0.86,0,"3,898",29,No,01:10.4,4,31,00:22:03,00:23:02,43,49
Running,09/01/2025 19:27,FALSE,Tangerang Running,10.11,490,01:07:57,162,183,3.4,174,205,06:43,05:42,11,18,0.85,0,"11,870",30,No,00:46.0,11,31,01:07:43,01:07:57,-19,-9
Running,07/01/2025 05:10,FALSE,Tangerang Running,10.47,464,01:09:29,153,168,2.8,178,190,06:38,05:50,6,14,0.85,0,"12,374",29,No,02:56.4,11,31,01:09:12,01:10:04,59,69
Running,05/01/2025 06:18,FALSE,Tangerang - Easy Run,10.06,451,01:04:12,155,176,3.4,181,190,06:23,05:40,10,14,0.87,0,"11,600",29,No,00:25.4,11,32,01:03:44,01:04:38,-28,-19
Running,04/01/2025 05:40,FALSE,Tangerang - Quality Session,23,"1,041",02:24:11,165,187,4.2,177,194,06:16,05:06,23,29,0.9,0,"25,564",29,No,05:23.6,23,34,02:22:37,02:26:24,-15,-6
Running,03/01/2025 05:12,FALSE,Tangerang - Easy Run,11.9,518,01:21:40,151,171,2.5,178,192,06:52,05:50,9,18,0.82,0,"14,562",28,No,05:59.9,12,30,01:21:25,01:24:39,13,26
Running,01/01/2025 06:29,FALSE,Tangerang - Quality Session,11.93,508,01:12:31,161,187,3.4,165,207,06:05,03:56,12,13,1.01,0,"12,590",29,No,00:01:00,22,33,01:10:37,01:19:14,28,39
Running,31/12/2024 05:14,FALSE,Tangerang Running,11.01,506,01:14:58,153,166,3,173,190,06:49,05:49,15,24,0.85,0,"13,182",28,No,00:02.9,12,30,01:14:13,01:17:29,29,48
Running,29/12/2024 07:00,FALSE,Tangerang - Easy Run,9.02,420,00:57:40,158,173,3.3,177,194,06:23,05:40,4,6,0.89,0,"10,238",29,No,00:08.1,10,31,00:56:35,00:58:04,31,37
Running,28/12/2024 05:09,FALSE,Tangerang - Quality Session,25,"1,043",02:33:53,161,185,3.3,179,194,06:09,04:41,12,26,0.91,0,"27,452",29,No,00:01.3,26,31,02:32:43,02:37:42,24,46
Running,27/12/2024 06:16,FALSE,Tangerang - Quality Session,12.02,529,01:10:23,164,191,3.9,178,194,05:51,04:59,8,16,0.96,0,"12,642",28,No,00:05.5,13,30,01:10:11,01:11:07,46,53
Running,25/12/2024 06:28,FALSE,Tangerang - Quality Session,11.63,511,01:10:21,165,205,3.9,170,212,06:03,04:02,10,16,0.97,0,"12,228",29,No,00:04.9,20,32,01:09:08,01:13:22,37,45
Running,24/12/2024 05:05,FALSE,Tangerang Running,12.33,579,01:18:46,163,174,3.6,178,190,06:23,05:33,4,15,0.88,0,"14,004",29,No,01:54.5,13,30,01:18:28,01:18:46,31,45
Running,22/12/2024 06:29,FALSE,Tangerang - Easy Run,10.25,476,01:09:16,156,173,3.3,177,192,06:45,05:27,4,10,0.83,0,"12,316",29,No,01:37.5,11,31,01:08:40,01:10:41,45,52
Running,21/12/2024 04:54,FALSE,Tangerang - Quality Session,23,962,02:23:25,163,191,4.1,178,199,06:14,05:05,13,17,0.9,0,"25,520",29,No,00:01.6,24,31,02:22:18,02:30:39,36,41
Running,20/12/2024 05:24,FALSE,Tangerang - Quality Session,10.54,493,01:09:21,158,176,3.4,177,190,06:35,05:46,12,18,0.86,0,"12,266",29,No,03:31.6,11,30,01:09:05,01:12:13,38,50
Running,18/12/2024 05:03,FALSE,Tangerang - Quality Session,10.83,412,01:08:35,150,178,2.6,154,247,06:20,03:33,10,16,1.05,0,"11,532",28,No,00:49.5,25,30,01:06:51,01:17:08,-152,-141
Running,15/12/2024 05:52,FALSE,Tangerang - Easy Run,14,642,01:38:04,154,175,3.1,174,188,07:00,05:45,14,20,0.82,0,"17,192",29,No,00:02.7,15,31,01:36:52,01:40:38,-133,-127
Running,14/12/2024 05:45,FALSE,Tangerang - Quality Session,22.01,820,02:15:08,159,183,3.2,175,201,06:08,04:21,28,35,0.93,0,"23,948",28,No,00:02.6,23,32,02:13:17,02:17:14,-126,-116
Running,13/12/2024 06:27,FALSE,Tangerang - Quality Session,10,453,01:04:44,159,175,3.3,174,192,06:28,04:59,12,12,0.89,0,"11,396",30,No,00:01.9,11,33,01:04:33,01:07:23,-76,-68
Running,11/12/2024 06:35,FALSE,Tangerang - Quality Session,8.35,388,00:52:49,166,189,3.8,152,215,06:20,03:36,27,22,1.06,0,"8,712",30,No,00:01.6,25,34,00:51:39,01:02:07,-59,-43
Running,10/12/2024 05:12,FALSE,Tangerang - Easy Run,8,382,00:55:58,156,175,3.1,173,190,07:00,05:50,9,18,0.83,0,"9,798",29,No,00:01.9,9,30,00:55:44,00:58:25,-29,-13
Running,07/12/2024 05:06,FALSE,Tangerang - Quality Session,19.01,800,01:58:05,166,192,3.5,174,200,06:13,04:38,32,43,0.92,0,"20,798",29,No,00:05.1,20,32,01:57:20,02:17:52,-4,8
Running,06/12/2024 06:09,FALSE,Tangerang - Quality Session,10.01,405,01:02:51,151,172,2.9,178,190,06:17,05:28,12,23,0.89,0,"11,242",27,No,00:02.4,11,29,01:02:24,01:03:52,-3,40
Running,05/12/2024 05:31,FALSE,Tangerang - Quality Session,9.81,451,01:05:43,163,191,3.7,141,231,06:42,03:28,14,23,1.17,0,"10,442",28,No,00:05.7,36,30,01:04:04,01:06:42,34,48
Running,03/12/2024 05:15,FALSE,Tangerang - Easy Run,6.27,297,00:45:53,151,173,2.8,169,188,07:19,05:51,8,12,0.81,0,"7,870",28,No,01:51.4,7,30,00:45:17,00:49:25,-22,-10
Running,01/12/2024 05:12,FALSE,Tangerang - Easy Run,9.44,392,01:09:22,141,163,2.6,163,196,07:21,05:24,12,10,0.83,0,"11,588",29,No,02:54.3,10,31,01:07:13,01:31:03,9,16
Running,30/11/2024 05:28,FALSE,Tangerang - Quality Session,23,"1,061",02:21:51,170,193,5,181,196,06:10,05:05,19,29,0.9,0,"25,510",29,No,00:03.0,24,32,02:20:51,02:25:43,12,20
Running,29/11/2024 05:23,FALSE,Tangerang - Easy Run,10.01,454,01:11:44,152,175,3,171,188,07:10,05:45,9,12,0.82,0,"12,342",28,No,00:05.1,11,30,01:11:15,01:16:03,15,27
Running,28/11/2024 05:45,FALSE,Tangerang Running,8.53,397,00:58:19,156,179,3.2,172,190,06:50,05:07,12,7,0.85,0,"10,126",28,No,03:13.0,9,30,00:57:54,01:08:08,30,38
Running,27/11/2024 06:25,FALSE,Tangerang - Quality Session,11.68,516,01:09:32,167,192,3.8,179,192,05:57,04:32,10,15,0.94,0,"12,506",30,No,00:22.4,14,33,01:09:19,01:10:43,46,52
Running,23/11/2024 05:35,FALSE,Tangerang - Quality Session,20.02,902,02:02:33,167,196,4.6,180,196,06:07,05:08,21,25,0.91,0,"22,122",29,No,00:05.3,21,33,02:02:09,02:10:31,41,54
Running,22/11/2024 05:03,FALSE,Tangerang - Easy Run,8.17,393,00:54:10,161,174,3.5,178,186,06:38,05:31,8,14,0.85,0,"9,660",29,No,01:03.8,9,31,00:54:04,00:54:10,-31,-23
Running,20/11/2024 05:22,FALSE,Tangerang - Quality Session,11.95,487,01:09:32,167,203,4.2,168,231,05:49,03:51,19,28,1.04,0,"12,254",28,No,00:16.2,29,30,01:08:36,01:11:36,-3,17
Running,19/11/2024 05:02,FALSE,Tangerang Running,9.69,464,01:05:02,162,178,3.4,171,217,06:43,03:38,8,17,0.88,0,"11,224",28,No,04:38.7,10,31,01:04:12,01:05:02,31,43
Running,16/11/2024 05:30,FALSE,Tangerang Running,18.01,859,01:56:35,168,186,4,176,192,06:29,05:23,15,21,0.88,0,"20,494",30,No,00:04.9,19,32,01:54:25,01:59:57,45,52
