Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Min Temp,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,03/11/2024 06:17,FALSE,Tangerang Running,11.62,814,01:31:10,139,153,--,163,183,07:51,06:44,83,80,0.78,--,--,--,--,--,0,--,--,"14,808",--,No,05:07.6,12,--,01:30:59,01:52:35,30,49
Running,31/10/2024 19:43,FALSE,Tangerang Running,8.62,650,00:55:09,152,167,--,169,183,06:24,05:39,58,63,0.93,--,--,--,--,--,0,--,--,"9,198",--,No,03:55.7,9,--,00:55:05,00:55:54,27,41
Running,30/10/2024 06:17,FALSE,Running,5.52,352,00:34:18,136,152,--,167,175,06:13,05:54,188,201,0.96,--,--,--,--,--,0,--,--,"5,678",--,No,03:17.4,6,--,00:34:17,00:34:18,54,83
Running,28/10/2024 19:17,FALSE,Running,5.09,379,00:34:21,145,152,--,165,177,06:45,06:24,197,207,0.9,--,--,--,--,--,0,--,--,"5,610",--,No,00:34.9,6,--,00:34:20,00:34:21,47,82
Running,22/10/2024 20:10,FALSE,Running,3.02,226,00:20:06,143,163,--,168,175,06:39,06:08,101,70,0.9,--,--,--,--,--,0,--,--,"3,318",--,No,00:07.5,4,--,00:20:05,00:20:06,61,98
Running,20/10/2024 06:19,FALSE,Running,10.02,711,01:04:20,146,165,--,167,183,06:25,05:35,241,244,0.94,--,--,--,--,--,0,--,--,"10,734",--,No,00:05.3,11,--,01:04:17,01:10:30,42,76
Running,16/10/2024 19:15,FALSE,Running,10.1,698,01:05:51,146,166,--,171,194,06:31,04:45,397,388,0.9,--,--,--,--,--,0,--,--,"11,864",--,No,00:15.4,17,--,01:05:48,01:11:33,44,88
Running,15/10/2024 06:15,FALSE,Running,6.2,416,00:39:03,140,154,--,168,176,06:18,05:55,178,189,0.95,--,--,--,--,--,0,--,--,"6,482",--,No,01:15.7,7,--,00:39:01,00:39:03,48,85
Running,11/10/2024 19:11,FALSE,Running,5.36,386,00:32:22,150,171,--,171,183,06:03,05:26,187,172,0.97,--,--,--,--,--,0,--,--,"5,454",--,No,02:05.1,6,--,00:32:21,00:32:22,54,98
Running,09/10/2024 19:07,FALSE,Tangerang Running,6.15,443,00:40:42,126,139,2.9,166,172,06:37,05:34,23,27,0.92,9.4,8.6,278,--,275,0,272,332,"6,652",--,No,01:08.9,7,--,00:40:40,00:40:42,29,36
Running,07/10/2024 19:10,FALSE,Running,5.24,380,00:33:24,146,170,--,169,197,06:22,04:33,184,148,0.93,--,--,--,--,--,0,--,--,"5,596",--,No,01:30.8,6,--,00:33:23,00:33:24,24,83
Running,29/09/2024 05:00,TRUE,Tangerang Running,21.16,"1,594",02:03:31,132,151,5,172,185,05:50,05:09,28,24,0.99,8.5,8.4,259,--,300,0,296,374,"21,182",--,No,01:12.3,22,--,02:03:26,02:03:31,46,58
Running,28/09/2024 06:12,FALSE,Tangerang Running,4.12,357,00:37:00,127,133,2.2,161,175,08:59,06:07,14,2,0.69,11.1,7.5,300,--,209,0,202,306,"5,916",--,No,00:52.9,5,--,00:36:57,00:55:54,30,43
Running,26/09/2024 05:53,FALSE,Tangerang Running,12.08,944,01:13:25,146,168,4.9,170,184,06:05,05:33,46,48,0.97,8.9,8.6,267,--,290,0,290,341,"12,366",--,No,00:28.3,13,--,01:13:21,01:17:05,49,55
Running,24/09/2024 18:51,FALSE,Tangerang Running,2.05,158,00:13:12,141,146,2.4,167,181,06:27,05:39,2,5,0.93,9.2,8.6,276,--,272,0,273,327,"2,166",--,No,00:17.1,3,--,00:13:11,00:13:37,42,49
Running,22/09/2024 06:33,FALSE,Tangerang Running,11,763,01:15:40,124,149,3.4,166,184,06:53,04:50,8,5,0.9,9.5,8.2,279,--,273,0,258,361,"12,502",--,No,00:02.7,12,--,01:15:38,01:18:37,38,45
Running,21/09/2024 05:50,FALSE,Tangerang Running,14.01,"1,015",01:45:23,133,146,3.2,163,180,07:31,04:48,17,15,0.82,10.1,8.2,290,--,244,0,238,375,"17,042",--,No,00:03.8,15,--,01:45:20,01:52:55,39,45
Running,18/09/2024 19:23,FALSE,Tangerang - Tempo,11.1,785,01:00:45,148,158,4.4,173,190,05:28,04:08,37,47,1.05,8.3,8.7,256,--,327,0,320,420,"10,472",--,No,00:03:00,15,--,01:00:41,01:00:45,45,57
Running,14/09/2024 06:01,FALSE,Tangerang Running,15.31,"1,092",01:37:41,133,158,3.7,167,178,06:23,05:10,19,8,0.94,9.2,8.7,275,--,278,0,276,361,"16,080",--,No,02:06.6,16,--,01:37:37,01:48:14,34,46
Running,13/09/2024 06:04,FALSE,Tangerang Running,10.42,707,01:00:10,133,142,3.6,170,182,05:47,04:36,12,11,1.02,8.7,8.8,264,--,304,0,303,376,"10,018",--,No,02:37.4,11,--,01:00:09,01:00:10,47,54
Running,11/09/2024 18:09,FALSE,Tangerang Running,8.03,633,00:51:54,151,166,--,167,175,06:28,05:06,72,72,0.93,--,--,--,--,--,0,--,--,"8,594",--,No,00:09.9,9,--,00:51:51,00:51:54,27,41
Running,10/09/2024 18:46,FALSE,Tangerang - Base,1.02,64,05:51.7,118,125,1.2,167,172,05:46,05:05,4,6,1.04,8.7,9.1,268,--,308,0,307,373,958,--,No,00:06.2,2,--,05:50.5,05:51.7,83,88
Running,04/09/2024 06:31,FALSE,Tangerang Running,3.58,288,00:25:48,144,164,--,164,177,07:12,06:26,21,20,0.85,--,--,--,--,--,0,--,--,"4,212",--,No,04:07.7,4,--,00:25:46,00:25:55,27,43
Running,31/08/2024 06:15,FALSE,Tangerang Running,8.29,560,00:49:01,146,171,--,164,185,05:55,04:00,11,12,1.02,--,--,--,--,--,0,--,--,"8,114",--,No,00:02.4,15,--,00:48:58,00:50:19,28,43
Running,28/08/2024 19:16,FALSE,Tangerang Running,10.09,680,01:06:45,141,154,--,164,177,06:37,05:39,85,86,0.92,--,--,--,--,--,0,--,--,"10,946",--,No,00:36.8,11,--,01:06:40,01:06:45,27,41
Running,25/08/2024 05:33,TRUE,Gianyar Running,21.19,"1,712",02:09:54,167,186,--,169,191,06:08,05:13,173,166,0.97,--,--,--,--,--,0,--,--,"21,864",--,No,01:32.0,22,--,02:09:01,02:09:54,2,119
Running,20/08/2024 06:08,FALSE,Tangerang Running,14.06,927,01:24:03,146,158,--,169,181,05:59,05:10,15,12,0.99,--,--,--,--,--,0,--,--,"13,956",--,No,00:25.3,15,--,01:23:59,01:24:03,30,41
Running,18/08/2024 06:16,FALSE,Tangerang Running,5.76,519,01:17:25,119,148,--,107,218,13:26,05:23,34,35,0.74,--,--,--,--,--,0,--,--,"8,788",--,No,07:21.0,6,--,00:57:14,01:17:25,23,108
Walking,15/08/2024 20:45,FALSE,Tangerang Walking,2,159,00:32:04,94,114,--,87,160,16:00,11:23,17,22,0.72,--,--,--,--,--,0,--,--,"3,014",--,No,00:04.5,3,--,00:29:50,00:32:04,30,42
Running,15/08/2024 17:30,FALSE,Tangerang Running,9.42,661,00:55:46,151,171,--,169,187,05:55,04:32,63,62,0.99,--,--,--,--,--,0,--,--,"9,464",--,No,02:57.2,10,--,00:55:41,01:12:58,27,41
Running,13/08/2024 18:49,FALSE,Tangerang Running,10.19,716,01:02:30,149,163,--,169,187,06:08,04:38,81,77,0.97,--,--,--,--,--,0,--,--,"10,482",--,No,01:27.3,11,--,01:02:27,01:10:09,27,41
Running,08/08/2024 06:07,FALSE,Tangerang Running,9.82,613,01:00:19,142,156,--,164,175,06:09,04:51,3,2,0.98,--,--,--,--,--,0,--,--,"9,886",--,No,00:06.2,14,--,01:00:17,01:00:19,34,39
Running,08/08/2024 06:01,FALSE,Tangerang Running,0.75,49,05:35.6,123,135,--,162,168,07:28,06:46,12,7,0.83,--,--,--,--,--,0,--,--,904,--,No,05:35.6,1,--,05:35.6,05:35.6,27,45
Running,06/08/2024 19:29,FALSE,Tangerang Running,3.13,232,00:20:03,146,164,--,165,183,06:24,05:32,19,24,0.95,--,--,--,--,--,0,--,--,"3,262",--,No,00:54.5,4,--,00:20:02,00:20:03,27,41
Running,04/08/2024 06:03,TRUE,Tangerang Running,21.02,"1,572",02:10:08,161,183,--,174,191,06:12,05:14,53,57,0.93,--,--,--,--,--,0,--,--,"22,566",--,No,00:06.5,22,--,02:10:03,02:38:54,26,35
Running,03/08/2024 06:28,FALSE,Tangerang Running,3.95,292,00:31:40,134,153,--,162,170,08:01,06:49,15,14,0.77,--,--,--,--,--,0,--,--,"5,092",--,No,07:48.6,4,--,00:31:40,00:51:30,24,33
Running,31/07/2024 18:51,FALSE,Tangerang Running,10.93,823,01:11:46,154,174,--,160,191,06:34,03:57,54,57,0.95,--,--,--,--,--,0,--,--,"11,626",--,No,00:01.3,30,--,01:11:41,01:14:28,30,45
Running,30/07/2024 19:03,FALSE,Tangerang Running,5.63,428,00:40:39,143,158,--,162,170,07:13,06:35,40,39,0.86,--,--,--,--,--,0,--,--,"6,548",--,No,04:38.9,6,--,00:40:34,00:41:33,27,41
Running,28/07/2024 05:58,FALSE,Tangerang Running,20.53,"1,354",02:11:01,146,162,--,169,179,06:23,05:19,51,54,0.93,--,--,--,--,--,0,--,--,"21,866",--,No,03:21.5,21,--,02:10:56,02:20:19,26,36
Running,25/07/2024 06:09,FALSE,Tangerang Running,13.03,982,01:20:39,158,183,--,166,189,06:11,04:07,15,17,0.96,--,--,--,--,--,0,--,--,"13,832",--,No,00:22.6,30,--,01:20:19,01:28:26,28,35
