Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Media
5561720967,"May 29, 2021, 9:49:01 AM",Afternoon Run,Run,,4471,5.24,,,FALSE,,,activities/5918748155.gpx.gz,,,4471,2222,5240.200195,6.800000191,2.35832572,112.8000031,47,-41,39.79999924,50,1.255677223,,,118,76.46748352,,,,,,,,,,,,,,,,,,,,,0,,1,5453,1622278784,5,27.92000008,33.47000122,25.87999916,0.889999986,1009.200012,1.139999986,3.210000038,263,0.855499983,1622241408,1622285184,0.620000005,,,0.400000006,5,0.959999979,16093,1,257.8999939,,,,,,,,,,,,,,,,,,
5561720969,"Jun 7, 2021, 9:44:54 AM",Afternoon Run,Run,,2029,5.27,,,FALSE,,,activities/5918748174.gpx.gz,,,2029,1825,5270.299805,5.699999809,2.887835503,32.20000076,42.40000153,-13.39999962,0.800000012,12.19999981,-0.193537369,,,120,78.39660645,,,,,,,,,,,,,,,,,,,,,0,,1,5305.700195,1623056384,2,30.09000015,36.81000137,25.38999939,0.75999999,1008.299988,1.629999995,4.889999866,243,0.065099999,1623019008,1623062912,0.910000026,,,0.059999999,5,0.790000021,16093,1,258.2999878,,,,,,,,,,,,,,,,,,
5561720971,"Jun 5, 2021, 9:22:57 AM",Afternoon Swim,Swim,,2188,"1,025",,,FALSE,,,activities/5918748164.fit.gz,,,2188,1715,1025,1.399999976,0.597667634,0,,,,0,0,,,32,19.41148949,,,,,172,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561720977,"May 19, 2021, 9:52:43 AM",Afternoon Run,Run,,1789,5.24,,,FALSE,,,activities/5918748145.gpx.gz,,,1789,1789,5246.600098,6.300000191,2.932699919,10.19999981,23.20000076,-17,1.399999976,33.29999924,-0.247779518,,,120,80.99272919,,,,,,,,,,,,,,,,,,,,,0,,1,5232.799805,1621414784,5,25.80999947,27.87999916,25.80999947,1,1008.200012,0.920000017,2.859999895,269,0.391099989,1621377280,1621421184,0.239999995,,,0.379999995,5,0.959999979,16093,1,256.7999878,,,,,,,,,,,,,,,,,,
5561720981,"May 1, 2021, 9:37:56 AM",Afternoon Run,Run,,4110,9.48,,,FALSE,,,activities/5918748146.gpx.gz,,,4110,3621,9481.5,5.800000191,2.618475676,217.6000061,234.8000031,-12.80000019,14.19999981,49.79999924,-0.181405902,,,120,77.45378113,,,,,,,,,,,,,,,,,,,,,0,,1,10337.7002,1619859584,3,30.60000038,38.29000092,25.87999916,0.75999999,1007.799988,1.899999976,3.920000076,345,0.234300002,1619822208,1619865984,0.670000017,,,0.090000004,5,0.99000001,16093,1,261.3999939,,,,,,,,,,,,,,,,,,
5561720984,"Jun 10, 2021, 9:39:30 AM",Afternoon Run,Run,,5358,11.51,,,FALSE,,,activities/5918748194.gpx.gz,,,5358,4260,11512.2998,5.099999905,2.70241785,40.40000153,25,-20.39999962,10.60000038,13.30000019,0.133769974,,,87,81.22431183,,,,,,,,,,,,,,,,,,,,,0,,1,11624.2998,1623315584,5,28.02000046,34.18999863,26.32999992,0.910000026,1006.299988,1,1.690000057,295,0.704400003,1623278336,1623322240,0,,,0.330000013,5,0.839999974,14823,1,259.8999939,,,,,,,,,,,,,,,,,,
5561720995,"May 30, 2021, 9:58:15 AM",Afternoon Swim,Swim,,2318,"1,050",,,FALSE,,,activities/5918748205.fit.gz,,,2318,2303,1050,4.199999809,0.455927044,0,,,,0,0,,,30,19.80721855,,,,,159,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5561721009,"May 18, 2021, 10:02:03 AM",Afternoon Run,Run,,2201,5.39,,,FALSE,,,activities/5918748158.gpx.gz,,,2201,2146,5396.799805,5.199999809,2.514818192,15.19999981,26.39999962,-24.60000038,-5.199999809,6.300000191,-0.207530394,,,109,75.58641815,,,,,,,,,,,,,,,,,,,,,0,,1,5392.799805,1621331968,5,27.5,32.79000092,25.96999931,0.910000026,1007.099976,1.710000038,2.980000019,327,0.635500014,1621290880,1621334784,0.209999993,,,0.330000013,5,0.839999974,16093,0,258.1000061,,,,,,,,,,,,,,,,,,
5561721011,"Apr 16, 2021, 9:44:55 AM",Afternoon Run,Run,,4291,6.57,,,FALSE,,,activities/5918748150.gpx.gz,,,4291,2809,6578.799805,7.300000191,2.3420434,87.19999695,102,-14.19999981,21.20000076,44.09999847,-0.224965036,,,90,75.03585815,,,,,,,,,,,,,,,,,,,,,0,,1,6907.899902,1618563584,5,28.62000084,34.38999939,25.53000069,0.829999983,1008.400024,1.940000057,3.660000086,288,0.839100003,1618526336,1618570112,0.140000001,,,0.300000012,5,0.899999976,16093,2,265.3999939,,,,,,,,,,,,,,,,,,
5561721027,"Jun 16, 2021, 9:54:38 AM",Afternoon Swim,Swim,,791,275,,,FALSE,,,activities/5918748157.fit.gz,,,791,787,275,0.800000012,0.349428207,0,,,,0,0,,,24,18.54962921,,,,,45,,,,,,,,,,,,,,,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
