Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,29/12/2024 06:12,Jakarta Running,7.01,473,00:47:07,131,152,2.9,172,207,06:44,03:06,20,19,0.86,9.2,7.9,262,06:41,230,0,226,509,"8,188",No,00:01.9,8,00:46:52,00:47:07,9,20
Running,28/12/2024 05:09,Tangerang - Longrun,28.12,"1,867",02:47:43,143,169,5,176,188,05:58,04:39,24,20,0.95,8.7,8.2,252,05:58,256,0,254,330,"29,522",No,00:40.8,29,02:47:21,02:52:21,24,31
Running,27/12/2024 06:16,Tangerang - Tempo,12.31,836,01:10:01,151,171,4.6,178,190,05:41,03:50,6,10,0.97,8.4,8.1,246,05:42,270,0,264,427,"12,462",No,00:52.7,16,01:09:53,01:11:29,28,33
Running,26/12/2024 06:38,Tangerang - Recovery Run 6k,6.01,397,00:35:39,134,147,3.2,180,191,05:56,05:28,2,5,0.93,8.5,7.9,248,05:56,254,0,253,296,"6,408",No,00:05.9,7,00:35:35,00:36:21,29,36
Running,25/12/2024 05:12,Tangerang - Longrun 25.12k,25.12,"1,725",02:24:18,150,171,5,179,234,05:45,05:05,20,14,0.97,8.4,8.1,247,05:45,263,0,262,312,"25,798",No,00:36.3,26,02:24:08,02:37:36,28,32
Running,24/12/2024 05:57,Tangerang - Easy Run 10Km,10.02,675,01:00:02,137,154,3.8,179,194,06:00,05:21,3,7,0.93,8.6,8,250,05:59,253,0,252,297,"10,704",No,00:08.2,11,00:59:59,01:00:02,28,33
Running,18/12/2024 06:37,Gianyar - Easy + Steady,2.2,202,00:26:33,106,123,1.7,159,187,12:04,05:04,30,25,0.86,9,6.6,273,10:59,203,0,153,338,"4,386",No,06:20.1,4,00:21:26,00:37:17,240,279
Running,14/12/2024 05:51,Tangerang - Longrun 18Km,18.24,"1,182",01:57:10,129,142,3.7,174,188,06:26,05:24,15,14,0.89,9,8,258,06:25,237,0,237,304,"20,430",No,01:29.8,19,01:56:55,02:05:41,29,32
Running,12/12/2024 06:16,Tangerang - Easy Run 7Km,7.11,485,00:44:58,134,146,3.2,177,190,06:19,05:16,15,5,0.89,8.9,7.9,255,06:19,241,0,240,303,"7,954",No,00:43.2,8,00:44:57,00:45:16,29,32
Running,11/12/2024 06:21,Tangerang - 800m interval,6.01,391,00:41:25,126,163,2.7,171,247,06:53,03:50,6,5,0.84,9.1,7.6,261,06:48,232,0,218,392,"7,172",No,00:53.4,10,00:41:17,00:41:47,35,40
Trail Running,07/12/2024 05:21,Chiang Mai Trail Running,54.4,"4,534",09:22:10,144,161,5,106,247,10:20,03:51,2409,2442,0.82,8.9,7,301,09:23,179,0,136,624,"65,362",No,02:33.7,55,08:05:56,09:22:10,321,"1,585"
Trail Running,05/12/2024 11:02,Pak Chong Trail Running,1.54,135,00:26:39,100,126,0.5,67,237,17:18,06:43,58,65,0.72,8.4,5.8,376,16:23,95,0,63,300,"2,250",No,00:12:23,2,00:20:21,00:35:09,737,789
Running,04/12/2024 07:20,Ratchathewi - Tempo,8.53,556,02:08:26,85,116,0.9,77,243,15:03,03:41,21,21,0.76,8.4,6.1,347,15:08,105,0,68,285,"11,572",No,00:01:00,10,01:42:32,02:12:35,5,18
Running,01/12/2024 02:00,Pathum Wan Running,42.74,"2,832",04:06:14,149,161,5,175,194,05:46,03:04,71,78,0.99,8.5,8.4,249,05:45,267,0,264,497,"43,336",No,03:52.5,43,04:05:32,04:06:14,-3,20
Running,30/11/2024 06:33,Pathum Wan Running,2.11,129,00:14:54,113,125,1,168,187,07:03,04:13,1,38,0.87,9.4,8.1,265,07:18,225,0,219,375,"2,532",No,00:45.1,3,00:14:30,00:44:57,7,48
Running,28/11/2024 05:37,Tangerang Running,12.52,806,01:21:06,125,138,3.3,175,190,06:29,04:43,10,10,0.88,9,7.9,258,06:27,235,0,234,321,"14,222",No,03:14.7,13,01:20:59,01:26:36,29,33
Trail Running,27/11/2024 06:32,Bogor Trail Running,11.31,"1,132",02:31:26,119,158,2.8,77,245,13:23,03:51,670,677,0.83,8.9,6.7,291,13:09,149,0,94,490,"15,028",No,02:06.5,12,01:49:40,04:49:48,351,832
Running,26/11/2024 06:14,Tangerang - Base,10.02,656,01:05:32,127,142,3,175,184,06:32,05:09,9,13,0.87,9.1,7.9,259,06:34,232,0,231,307,"11,492",No,00:06.3,11,01:05:19,01:05:43,33,40
Trail Running,24/11/2024 06:28,Bogor Trail Running,14.24,"2,002",05:45:45,113,150,3,45,250,24:18:00,03:43,1069,1119,0.77,8.8,6,322,24:48:00,115,0,46,518,"21,540",No,01:43.4,15,02:36:32,07:27:41,335,879
Running,24/11/2024 06:26,Bogor Running,0.08,5,01:11.9,79,91,0,73,128,14:38,08:38,--,1,0.73,8.6,6.2,441,18:06,86,0,62,161,96,No,01:11.9,1,00:00:49,00:01:12,349,350
Running,23/11/2024 05:36,Tangerang - Longrun 21Km,8.31,512,01:13:15,106,138,2.6,140,240,08:49,05:12,28,19,0.83,8.7,6.7,251,08:48,198,0,156,286,"10,640",No,04:16.1,9,01:12:55,01:23:49,26,38
Running,22/11/2024 05:55,Tangerang - Tempo,11.01,728,01:04:00,142,163,4,182,196,05:49,04:39,14,7,0.94,8.4,7.8,243,05:49,262,0,257,337,"11,646",No,00:08.2,12,01:03:51,01:05:53,34,38
Running,21/11/2024 06:04,Tangerang - Recovery Run 60mins,10.01,658,01:06:18,126,141,3.1,173,184,06:37,05:48,15,8,0.86,9.2,7.9,260,06:37,230,0,229,269,"11,518",No,00:05.8,11,01:06:08,01:07:01,34,40
